id,TweetText,Time
1,Johnny marr and his amazing band last night at northumbria University. What a fantastic gig 🎵🎵💙 https://t.co/sMQnU7c0TK,2022-04-21T19:21:02.000Z
2,"RT @AnnieWHistory: The children of Penda the Pagan king, and the children of Oswii of Northumbria, are adults.  And there are scores to set…",2022-04-21T20:27:28.000Z
3,"RT @UPFBaces: 🚨Join us in the two upcoming BACES Seminars! On Wednesday, May 4th, @hcarrapico (Northumbria University - United Kingdom) wil…",2022-04-21T20:42:44.000Z
4,"@BelowThePod @PabloCheeksBTR @NewcastleEagle @RidersBball @PlymCityPatriot @BBLofficial Great show, enjoyed listening to your views on the Eagles. Drew is the head coach of Northumbria Uni as well as Gateshead College. I believe Fletch is his assistant at the uni. Daniel Johnson Thompson also plays for Northumbria Uni and is studying up here so am sure he’s staying.",2022-04-21T19:42:10.000Z
5,"RT @AnnieWHistory: The children of Penda the Pagan king, and the children of Oswii of Northumbria, are adults.  And there are scores to set…",2022-04-21T19:51:38.000Z
6,"RT @Apex_Immortals: U've never been this early to a major project. Don't miss out! Win a FREE NFT!
👇Rules:
1️⃣ Follow us
2️⃣ RT &amp; ❤️
3️⃣ Ta…",2022-04-21T21:53:41.000Z
7,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T21:54:15.000Z
8,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T21:53:03.000Z
9,"""Mmac""by 9Etherelams.  https://t.co/LoKmuozKee via @opensea #meta #NFT #NFTProject #nftcollectors #NFTCommmunity",2022-04-21T21:54:26.000Z
10,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T21:53:49.000Z
11,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T22:54:24.000Z
12,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T22:53:58.000Z
13,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T22:53:37.000Z
14,"RT @thinlyspread_: Congrats, @_ihunt4! 💰🧪

https://t.co/xdeguU0xrX

#InGameCredit $IGC #metaverse #VR #AR #virtualreality #gaming #Augmente…",2022-04-21T22:54:19.000Z
15,"RT @muskmelon_mm: #Melons are growing across universes. Have you got yours yet?? #MuskMelon is now on @CoinMarketCap 
 
#NFTs #Metaverse #M…",2022-04-21T22:53:49.000Z
16,"We will have a fast start.  And we will sell only a small number of nft.  Therefore, follow us. Any activity counts.

#street #meta #nft #opensea #NFTGiveaway #mint",2022-04-21T23:53:59.000Z
17,"RT @Metafrika_eco: Introducting METAFRIKA! 

Africa’s avenue into the #Metaverse 

#BSC #meta #african #StartUp #Token #Ecosystem #FrikaArm…",2022-04-21T23:53:34.000Z
